Station;Date;Annee;Cle;Mois;Jour;Saison;Partenaire;Province;Bassin
QU02OD3004;2019-05-27T00:00:00Z;2019;QU02OD3004_2019-05-27 00:00:00;5;27;Spring;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OD3004;2019-06-04T00:00:00Z;2019;QU02OD3004_2019-06-04 00:00:00;6;4;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OD3004;2019-06-11T00:00:00Z;2019;QU02OD3004_2019-06-11 00:00:00;6;11;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OD3004;2019-06-18T00:00:00Z;2019;QU02OD3004_2019-06-18 00:00:00;6;18;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OD3004;2019-06-25T00:00:00Z;2019;QU02OD3004_2019-06-25 00:00:00;6;25;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OD3004;2019-07-02T00:00:00Z;2019;QU02OD3004_2019-07-02 00:00:00;7;2;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OD3004;2019-07-09T00:00:00Z;2019;QU02OD3004_2019-07-09 00:00:00;7;9;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OD3004;2019-07-16T00:00:00Z;2019;QU02OD3004_2019-07-16 00:00:00;7;16;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OD3004;2019-07-23T00:00:00Z;2019;QU02OD3004_2019-07-23 00:00:00;7;23;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OD3004;2019-07-30T00:00:00Z;2019;QU02OD3004_2019-07-30 00:00:00;7;30;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OD3004;2019-08-06T00:00:00Z;2019;QU02OD3004_2019-08-06 00:00:00;8;6;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OD3004;2019-08-12T00:00:00Z;2019;QU02OD3004_2019-08-12 00:00:00;8;12;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OD3004;2019-08-20T00:00:00Z;2019;QU02OD3004_2019-08-20 00:00:00;8;20;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
